|tweets
13100|Getting ready for the @LeighBizExpo ... a bit of ⚡️ and  a bit of performance! #manchester #business #events https://t.co/77NGjAsqgj
13101|"RT @LeighBizExpo: #BizHour it's just 2 days until #LeighExpo so take a look at this years line-up and book your FREE tickets today! 
Go on…"
13102|"RT @LeighBizExpo: Join us for Leigh Business Expo 2019 this Wed 22nd May!
Free to attend ✔️
Business networking ✔️
Learning Huddles ✔️
Gene…"
13103|Notwithstanding some difficult press recently, the @Jaguar F-pace 2.0d R-sport Auto (RWD) is still giving us some… https://t.co/0s6erzK24n
13104|RT @whatcar: Here are the #top10 best #hybrid cars you don't have to plug in: https://t.co/BQcxCk6T2j https://t.co/zZZfWQG6wE
13105|"RT @LeighBizExpo: Only 3 days left till #leighexpo! Book your free ticket now for an unmissable day of networking and business! 
https://t.…"
13106|Warren Tutty gave CarLease UK 5 stars via @Trustpilot https://t.co/mR7sc7T8YO #carleasing #trustpilot #service #loyalty
13107|RT @Arval_UK: We’ve arrived in #Oxford for our Hydrogen Roadshow! We'll be discussing why businesses should be looking into hydrogen vehicl…
13108|"RT @LeighBizExpo: Good luck to @brandeditemsgp tonight at the @StHelensChamber Annual Dinner &amp; Business Awards!
Well done for your nominati…"
13109|John Chisholm gave CarLease UK 5 stars via @Trustpilot https://t.co/BU7xygZnmk #trustpilot #leasing #happy #positive
13110|"RT @LeighBizExpo: There is only 1 week to go until #leighexpo! There's still time to book your free ticket, just click the link below! 
htt…"
13111|Duncan  gave CarLease UK 5 stars via @Trustpilot https://t.co/IvCNakJDt8 #reviews #honest #oldfashioned
13112|Bruce wood gave CarLease UK 5 stars via @Trustpilot https://t.co/eXKVDloi8O #carleasing #trustpilot #5star
13113|JasonS gave CarLease UK 5 stars via @Trustpilot https://t.co/Rn1A3Cm4Rq #carleasing #trustpilot #reviews
13114|RT @LeighBizExpo: @LeighBizExpo is just around the corner, and with ‘community’ being a strong theme for the occasion, we asked its headlin…
13115|Throwback to the @Lets_Electric event at the @lsvstadium where we test-drove all things hybrid, PHEV and electric!… https://t.co/jPyesFpeGd
13116|"RT @SteveFowler: New Mercedes-Benz EQC review - it's the poshest all-electric SUV yet - ⭐️⭐️⭐️⭐️
https://t.co/QhzCKAJImC"
13117|Its nearly time! #local #business https://t.co/O5NqGnTonq
13118|Coming soon ... cannot wait for our test drive!! https://t.co/CnZBNqR416
13119|Some #TuesdayMotivation in the form of our customer's new @BMW 530d M Sport 4 Door Auto in Sophisto Grey and with t… https://t.co/IvKuT5n0Oe
13120|RT @CarbuyerUK: A hot #hybrid SUV! The @vauxhall #GrandlandX is now available as a plug-in with 30 miles of range. It’s the fastest version…
13121|RT @LeighBizExpo: How many opportunities do you get to #network with 100's of local businesses under 1 roof, in a single day, face to face,…
13122|CarLease UK Video Blog :VW Areton : Car Leasing Deals https://t.co/jmoZYYG8Zj via @YouTube #carleasing #reviews #vw
13123|CarLease UK Video Blog :VW GOLF DIESEL HATCHBACK 1.6 TDI Match: Car Leas... https://t.co/7tFoyhnqsa via @YouTube… https://t.co/NJP3zgrskM
13124|Emma gave CarLease UK 5 stars via @Trustpilot https://t.co/DvJlcBojIr #carleasing #trustpilot #3rdtimearound #positive
13125|"RT @AskLevc: TX Driver: “Currently saving £16/day, 6days/wk. Inc fuel savings and Over 5 years brings the cost down to 1998 tx1levels.”

In…"
13126|"RT @MercedesBenz: Sporty, dynamic look. ⭐ #MercedesAMG #AMG #GTC #Drivingperformance

More about the GT: https://t.co/cTbzaOL2Zk

[Mercedes…"
13127|Very pleased to deliver yet another of one of the UK's best-selling cars - the @UKVolkswagen Golf 1.6 TDI Match 5dr… https://t.co/GuWQFSNjSp
13128|RT @autocar: The new @vauxhall Grandland X Hybrid 4 paves the way for @GroupePSA's expanding hybrid line-up with a 296bhp petrol-electric p…
13129|WORLDWIDE TOURS AND TRAVEL LTD gave CarLease UK 5 stars via @Trustpilot https://t.co/FeVA2TLcen #trustpilot #5star… https://t.co/RKRP7WCG9P
13130|MERCEDES-BENZ GLC DIESEL COUPE GLC 220d 4Matic Sport Premium 5dr 9G-Tronic Car Leasing and Contract Hire Deals :… https://t.co/UvvS9FuoCX
13131|When you say you have 50 years+ experience and you can provide it! #business #history #family https://t.co/SeAdfKmQZv
13132|"RT @CARmagazine: Putting practicality to the test: how much of a big car can a modest hatchback like the @MercedesBenz A-Class really be?
h…"
13133|A happy handover to our #Kettering based personal leasing customer with their new @PeugeotUK 2008 1.2 Puretech 130… https://t.co/vyrruTO7Ez
13134|RT @Business_Van: DPD leads charge with UK’s first all-electric eVito vans - https://t.co/yRWqxfmVpD https://t.co/rhYJPpM6eT
13135|Mike gave CarLease UK 5 stars via @Trustpilot https://t.co/iukcp4oj7w #carleasing #trustpilot #service
13136|RT @AutoExpress: Is PSA looking to buy Jaguar Land Rover? The reports say yes... https://t.co/WcShTXglbl #peugeot #citroen #vauxhall #jagua…
13137|RT @BusinessCarMgr: New BP Fuel and Charge offer extends to EVs - https://t.co/WqKonGng1s https://t.co/N56YPDpHT0
13138|A very impressive @UKVolkswagen Arteon Fastback 2.0 TDI R Line 5dr DSG in Tumeric Yellow courtesy of the… https://t.co/pr0OlS1Slk
13139|RT @FullyChargedShw: 5 lucky people will be selected tomorrow to win a weekend pass each for 2 people to #FullyChargedLIVE. There's still t…
13140|Who isn't making/designing/producing an electric car now? 🙄 https://t.co/0GoXha467X
13141|Anonymous  gave CarLease UK 5 stars via @Trustpilot https://t.co/tzokidJuUL #carleasing #trustpilot #genuine #respect
13142|Intelligent Lifts &amp; Escalators Ltd gave CarLease UK 5 stars via @Trustpilot https://t.co/6AZxUiyMeZ #carleasing #trustpilot #positive
13143|Sunil Patel gave CarLease UK 5 stars via @Trustpilot https://t.co/EWzo9kDo43 #trustpilot #loyalty #isntdead #carleasing
13144|Bradley Stuart gave CarLease UK 5 stars via @Trustpilot https://t.co/CjK4tKfVMv #carleasing #trustpilot #positive
13145|Another day. Another delivery. Our personal lease customer received their @MercedesBenzUK  A180d Sport Executive 5d… https://t.co/amZ4rROfDZ
13146|RT @Business_Van: LCV demand continues its upward curve - https://t.co/S7rsmSdZmh https://t.co/oxqJJuPvYw
13147|RT @AutoExpress: NEWS: Upcoming hot #MercedesAMG #CLA 45 leaked on their own configurator…&gt;&gt; https://t.co/KQAT2qZ6n4 https://t.co/KpsnTGkql1
13148|RT @Business_Van: ULEZ forces replacement cycle speed up - https://t.co/MfpwEOBCiD https://t.co/s8AeZY2XvG
13149|It was a pleasure to personally deliver the beautiful @MINI 1.5 Cooper Sport II [Comfort/Nav Pack] to our… https://t.co/esllLcOLRZ
13150|RT @propickup4x4: One of our New Zealand readers, Blair, has just sent us pictures of his 2019 facelift @MitsubishiUK L200 - what does ever…
13151|"RT @LeighBizExpo: There's now less than 3 weeks until #leighexpo 2019! 
Have you booked your FREE ticket yet? 
FREE #networking opportunity…"
13152|Jonathan gave CarLease UK 5 stars via @Trustpilot https://t.co/lsdhXux1wT #leasing #firstclass #trustpilot
13153|Had plenty of fun @MINI HQ in Farnborough this week! Enjoyed our review of this plug-in option - the Countryman1.5… https://t.co/5YSPmGqs4x
13154|"RT @carwowuk: INCOMING: All-new #LandRoverDefender! 

Maintaining its old-school boxy cabin shape, we're expecting to find JLR's latest 2.0…"
13155|RT @CARandDRIVER: The 2020 @MercedesBenz GLE450 improves in nearly every way: https://t.co/QHR94ztSz9 https://t.co/YUPrmglBs9
13156|CarLease UK is rated 9.9 / 10. Check out all reviews... via @Trustpilot https://t.co/oGvDnNG2bJ - thank you to our… https://t.co/NVqzXVuXS9
13157|Paul Egerton gave CarLease UK 5 stars via @Trustpilot https://t.co/IESaoZnGhf #trustpilot #reviews #900 #happy #customers
13158|Joanne gave CarLease UK 5 stars via @Trustpilot https://t.co/SQWrTNpv4G #trustpilot #reviews #allgood
13159|Sarah Jane Roxy Tarry gave CarLease UK 5 stars via @Trustpilot https://t.co/ibO0Qnz5xF #trustpilot #reviews #quality
13160|RT @whatcar: Is the new range-topping Ford #RangerRaptor the ultimate #pickup truck? What Car?'s @DougRevolta has the definitive verdict: h…
13161|Mark Green gave CarLease UK 5 stars via @Trustpilot https://t.co/tn0cqCZVc3 #trustpilot #service #leasing
13162|With clean air zones, LEZ and ULEZ now in place, will businesses be moving towards electric vans with the same enth… https://t.co/mqIGjlvoNc
13163|RT @Mancheshare: Only 3 weeks to go to the  #LeighExpo Get your tickets here and come and visit us! https://t.co/nmtpCRN8UC @LaunchEventsNW
13164|RT @PeugeotUK: The beginning of a new chapter. All-new #Peugeot208 &gt; https://t.co/yfOvC8WFKD https://t.co/KqF4b4Jghq
13165|RT @whatcar: With demand for #electriccars soaring, What Car? has developed a test that shows their real world range between charges: https…
13166|RT @AutoExpress: NEWS: #JLR gives #Rangerover new mild-hybrid powertrain…&gt;&gt; https://t.co/vQFobszms6 https://t.co/EsXdeC0R4k
13167|What do you think to the @renault_uk ZOE HATCHBACK 80kW i Dynamique Nav R110 40kWh Auto (in Zircon Blue)? With the… https://t.co/8utGHXR0aP
13168|Janis Kenton gave CarLease UK 5 stars via @Trustpilot https://t.co/ks502nYfEO #carleasing #reviews #trustpilot
13169|MERCEDES-BENZ GLA CLASS DIESEL HATCHBACK GLA 200d AMG Line 5dr Auto Car Leasing and Contract Hire Deals :… https://t.co/5KdxN8c6fW
13170|It’s nearly that time ... just to note we will have electric vehicles for customers to review from @warringtonVW,… https://t.co/j89npzY5Bt
13171|Paul Callan gave CarLease UK 5 stars via @Trustpilot https://t.co/PjdirvtaJ8 #carleasing #trustpilot #reviews
13172|RT @LeighBizExpo: Want to attend a free business expo full of networking and workshops? Then look no further than #leighexpo which is in ju…
13173|BBC News - Some common concerns about electric cars explained. https://t.co/RUlPZCL1K2  - interesting to see so muc… https://t.co/JcvsmACADC
13174|RT @AutoExpress: REVIEW: We’ve driven the #Tesla #Model3 in the UK, but is it a true game changer?..&gt;&gt; https://t.co/24x48D0zwd https://t.co…
13175|New Mini Convertible @CarLease UK - 2019 Mini Interior/ Exterior, Review... https://t.co/1leHbrxDts via @YouTube #Mini #leasing #videoblog
13176|RT @insidernwest: #Liverpool an 'untapped market' for rugby league club - @GroupBackhouse https://t.co/EWxIy8hFPp https://t.co/LCJ5XYhmlz
13177|Amazing to see these in @sthelenscouncil now. 2 x Rapid Chargers at The Range in the town centre. #electriccars… https://t.co/mNkh4oAnFe
13178|Some real #MondayMotivation for any performance car fans ... the beautiful @BMW M4 COUPE 2dr DCT [Competition Pack]… https://t.co/djolvswXn3
13179|RT @AutoExpress: The third generation #BMW #Z4 has landed in the UK, can it match the #Porsche #718 #Boxster?...&gt;&gt; https://t.co/G8Qh3LBQjk
13180|RT @auto_schmidt: First @MercedesBenz #fuelcell GLC spotted on the road in Berlin. https://t.co/7U0v71h4Jf
13181|"RT @lsvstadium: We’re here at @gmchamber expo.
Come along and play our game “inittoginit” 
Sue from @carlease_uk us currently in the lead!…"
13182|MERCEDES-BENZ C CLASS COUPE C300 AMG Line 2dr 9G-Tronic Car Leasing and Contract Hire Deals :… https://t.co/sQXmwDwWWD
13183|Does the @AlfaRomeoUK GIULIA DIESEL 2.2 JTDM-2 180 Tecnica 4dr Auto (in Vulcano Black) give you that #FridayFeeling… https://t.co/QnmCjMpyQC
13184|RT @TheCarExpertUK: Kia describes the #HabaNiro, unveiled at the New York Auto Show, as its 'Everything Car', but the electric concept is s…
13185|RT @CARmagazine: Google Maps now shows the availability of EV chargers https://t.co/wzozah6hXl https://t.co/KHUdPEtulc
13186|RT @LeighBizExpo: Today, we are excited to reveal a taste of our amazing line-up on offer at this year's Leigh Business Expo &gt;&gt; take a peek…
13187|Is the @AudiUK A4 the class-leader? Or will the latest BMW 3 Series and Jaguar XE knock it off the top spot? Our pe… https://t.co/oYW7lBZgRi
13188|RT @LeighBizExpo: Theres just 4 weeks until #leighexpo! Have you booked your ticket yet? If not, click on the link to book your free ticket…
13189|RT @AutoExpress: NEWS: Revisions to #Tesla #ModelX and #ModelS bring improved range, charging times and comfort...&gt;&gt;https://t.co/MftZTdzCpR…
13190|Gary gave CarLease UK 5 stars via @Trustpilot https://t.co/gu5tXO1Est #trustpilot #reviews #allgood
13191|"RT @evomagazine: The storming DBS Superleggera is now available in drop-top form, and retains its 211mph top speed -
https://t.co/FC8GWTWK1…"
13192|Do customers still consider the @VolvoCarUK to be boring? Their latest product (in particular the PHEV options) are… https://t.co/Vu8KrrvFjI
13193|MERCEDES-BENZ GLA CLASS DIESEL HATCHBACK GLA 200d AMG Line 5dr Auto Car Leasing and Contract Hire Deals :… https://t.co/RAiUvU4Ydj
13194|RT @PSpag_Jayne: Did you know that posts with a location on #Instagram get 79% more engagement than those without?  https://t.co/Hmy4kIIyj3
13195|RT @whatcar: Is the new seven-seat #BMWX7 worth the premium over our #whatcarawards-winning Audi Q7? Here's the verdict: https://t.co/83aPM…
13196|RT @chashallett: Great review for the new Jaguar F-Pace SVR https://t.co/FD5WMBg4Zc #jaguar @Jaguar
13197|Matt P gave CarLease UK 5 stars via @Trustpilot https://t.co/4k2wXjtjcR #carleasing #trustpilot #grateful #humbled
13198|Customer gave CarLease UK 5 stars via @Trustpilot https://t.co/3JdI8Sr8Ws #carleasing #trustpilot #firstclass
13199|david lyon gave CarLease UK 5 stars via @Trustpilot https://t.co/1WXL653P3O #carleasing #trustpilot #happycustomer
13200|Paul Ellis gave CarLease UK 5 stars via @Trustpilot https://t.co/QhWKUQwly6 #carleasing #trustpilot #5star
13201|RT @autocar: At the launch of the new @MercedesBenz CLA, company bosses called it the sportiest compact model in its range. Now, we've driv…
13202|Dr Paul Morley gave CarLease UK 5 stars via @Trustpilot https://t.co/3qdEdrU9dX #carleasing #trustpilot #5star
13203|Audi A4 2019 https://t.co/9eL4T7TdRZ via @YouTube #carleasing #audi #a4
13204|CarLease UK Video Blog :Mercedes Benz GLC: Car Leasing Deals https://t.co/0BJiKmgp9K via @YouTube #carleasing #mercedes #SUV
13205|RT @AutoExpress: TWIN TEST: #Cupra Ateca vs #Audi SQ2 - is Cupra on to a winner with its first standalone model?...&gt;&gt;https://t.co/deYECgSto…
13206|MERCEDES-BENZ GLC DIESEL COUPE GLC 220d 4Matic Sport Premium 5dr 9G-Tronic Car Leasing and Contract Hire Deals :… https://t.co/XwXFdpMyPg
13207|RT @AutoExpress: REVIEW: Is the #Mercedes CLA more than just a re-bodied A-Class?...&gt;&gt; https://t.co/P7sHF1U3Eq https://t.co/5xsg4K2mI5
13208|TOYOTA RAV4 ESTATE 2.5 VVT-i Hybrid Design TSS 5dr CVT Car Leasing and Contract Hire Deals :… https://t.co/BuV3m6FCHl
13209|RT @AutoExpress: The Best Compact Executive car award goes to the #Lexus IS in the 2019 #DriverPower survey. Congratulations @LexusUK ! htt…
13210|Some #ThursdayThoughts - would you go for the Coupe or SUV? Our #Wigan personal leasing customer went for the Coupe… https://t.co/n0auGIcClj
13211|Andy Bennett gave CarLease UK 5 stars via @Trustpilot https://t.co/cPSUUYZopP #trustpilot #reviews #allgood
13212|RT @LeighBizExpo: #leighexpo is in just 5 weeks! Book your ticket now and come see us for a brill day full of networking, just click on the…
13213|We have a a number of customers now awaiting their new @KiaUK E-NIRO  150kW First Edition 64kWh which should land l… https://t.co/gcqQT9deGu
13214|"RT @HarwoodsGroup: Aston Martin’s first electric model – Rapide E – now ready for production 🙋‍♀️🙋‍♂️😁

#Aston #Martin #Reveal #RapideE #Sh…"
13215|"RT @carwowuk: SPOTTED: New #BMWM3!

Set to be fully unveiled at the Frankfurt Motor Show, this new super saloon is likely to arrive with an…"
13216|Latest Car Lease Deals From CarLease UK - https://t.co/WVoZrVO9wp https://t.co/w6oBtNXdfF
13217|Links Waste Management Ltd gave CarLease UK 5 stars via @Trustpilot https://t.co/p3uBpXpZx1 #carleasing #trustpilot #service
13218|In Review - Mercedes AMG A35 4Matic Executive (Auto/ Petrol) - Hot Hatch... https://t.co/O2SjK0RW2E via @YouTube… https://t.co/W14uihsQrL
13219|RT @AutoExpress: NEWS: #Porsche takes aim at the #BMW X6 as it unveils the new #Cayenne Coupe at #ShanghaiMotorShow…&gt;&gt;https://t.co/pDzJR40M…
13220|RT @zap_map: Fastned opens UK's fastest EV charge points - Sunderland station has two ultra-rapid points capable of charging at up to 350 k…
13221|Some #tuesdaymotivation from our personal leasing customer who loved their new @AudiUK A5 Sportback 35 TFSI Black E… https://t.co/TMezrgJtWn
13222|"RT @ytimesmotoring: Fire up the Aston.... or maybe just plug it in!

British manufacturer unveils its first electric car - the Rapide E

Tw…"
13223|Our personal leasing customer may have been waiting a while but it was worth it ... say hello to the… https://t.co/XpeS6STir8
13224|"RT @whatcar: REVEALED: @UKVolkswagen's #IDRoomzz concept previews a fully-electric, seven-seat SUV set for production in 2021:

- 302bhp
-…"
13225|Andy gave CarLease UK 5 stars via @Trustpilot https://t.co/YAj6JlubkQ #carleasing #trustpilot #reviews
13226|"RT @Jaguar: Photon Red Friday. 

Design your ultimate #Jaguar #IPACE: https://t.co/TENuGzw9SH https://t.co/q1RwyPfpTk"
13227|TRAVIS gave CarLease UK 5 stars via @Trustpilot https://t.co/DpaA7nCG6i #carleasing #trustpilot #happycustomer
13228|BMW 530e 4dr Auto Interior/ Exterior Features, Close-up &amp; Review @ CarLe... https://t.co/dt1BC6YqT8 via @YouTube… https://t.co/wSTRlRiYyT
13229|An enjoyable visit to our business #leasing customer in Skelmersdale to review their latest fleet additions - two… https://t.co/IMXsyRPX0O
13230|RT @AutoExpress: NEWS: #Audi S6 and Audi S7 to get mild-hybrid diesel power when they arrive…&gt;&gt; https://t.co/YRTVm0LDlX https://t.co/Qa2rwn…
13231|Barry Haws gave CarLease UK 5 stars via @Trustpilot https://t.co/lm3ljP0ZWT #trustpilot #reviews #carleasing
13232|Amanda Iveson gave CarLease UK 5 stars via @Trustpilot https://t.co/oqAder6Zou #trustpilot #reviews #carleasing
13233|#NationalPetDay  - the queen of #carleasuk! https://t.co/hEnRrryMlM
13234|Our #business leasing customer sent over photos of their newest fleet addition - the Sea Grey @forduk RANGER P/Up D… https://t.co/jhSTzL5xBi
13235|RT @AutoExpress: NEWS: #Ford #Puma returns as a Fiesta-sized SUV and we have an exclusive image of how it could look…&gt;&gt;https://t.co/ajcm2Td…
13236|RT @LeighBizExpo: Whether you’ve only got an hour to spare or you’re free to spend the day with us, #LeighExpo offers local businesses the…
13237|New 2019 BMW 320d xDrive M-Sport 4dr Step (Auto/ Diesel) - Review, Inter... https://t.co/nw2wVzz4Ip via @YouTube… https://t.co/upBKg95xCm
13238|BMW 4 SERIES GRAN COUPE 420i M Sport 5dr Auto [Professional Media] Car Leasing and Contract Hire Deals :… https://t.co/YIgOVrC9WG
13239|Clair Dyson gave CarLease UK 5 stars via @Trustpilot https://t.co/wrO7cDy3z4 #carleasing #trustpilot #5star
13240|"RT @ytimesmotoring: Today it’s time for the first UK Media drives if the new e-tron, Audi’s first electric car.

Full review of this exciti…"
13241|Satnam Singh gave CarLease UK 5 stars via @Trustpilot https://t.co/DAQG6DrtKC  #carleasing #trustpilot #reviews
13242|Alan Monteith gave CarLease UK 5 stars via @Trustpilot https://t.co/0VDyBLSVQt #carleasing #trustpilot #service
13243|Our local #Warrington landscaper collected their brand-new vehicle from the VanLease UK team - the @forduk Transit… https://t.co/MXputYsM73
13244|Over to you BMW 4 Series Gran Coupe and Audi A5 Sportback ... https://t.co/NkABigCquL
13245|RT @BusinessCarMgr: New XC60 kinder on BIK - https://t.co/StMObDPGov https://t.co/tAakW5iWq4
13246|"RT @LeighBizExpo: #sthelenshour
Are you a local business? ☑️
Do you want to put your business in front of 100's of potential new customers?…"
13247|RT @expressitgroup: We work with a few different #drivingschools in the #NW supplying various #Graphics and #RoofBoxes. Jamie and the #Ooos…
13248|BBC News - ULEZ: New pollution charge begins in London https://t.co/AknrdsStA3
13249|RT @AutoExpress: REVIEW: We hit the road in the plug-in hybrid #Mercedes E 300 e executive saloon…&gt;&gt; https://t.co/izwGqlVeFQ https://t.co/f…
13250|RT @BusinessCarMgr: SEAT enters new territory with Tarraco - https://t.co/WunUPbNV2L https://t.co/LOOxZv878a
13251|Is the @UKVolkswagen Golf Hatchback 2.0 TSI 245 GTI Performance the ultimate day to day hot hatch? Definitely looks… https://t.co/I9ggTEPjWO
13252|RT @whatcar: The all-new #FordKuga will arrive next year with plug-in, #hybrid and mild hybrid options, plus conventional petrol and diesel…
13253|CarLease UK Video Blog : VW Golf GTi : Car Leasing Deals https://t.co/69cpMLvKVw via @YouTube #carleasing #vw #blogs
13254|RT @expressitgroup: Fantastic BforB Business Networking meeting this morning. 24 referrals in the bank. Also great 10mins from Elysia from…
13255|"RT @evomagazine: The Mercedes-AMG CLA45 is on the horizon...
https://t.co/ZFYeH5c3rj https://t.co/ir6vU4e2ZX"
13256|Thanks to @Williams_BMW for visiting the team in the brand-spanking-new @BMW 320d xDrive M Sport Step Auto Saloon!… https://t.co/kprohi5IVP
13257|BBC News - Lack of electric car charging points 'putting off drivers' https://t.co/fGspgVhUPf - there are many init… https://t.co/2hSF38F321
13258|RT @Business_Van: R U ready for ULEZ? - https://t.co/zPTymwtVtl https://t.co/FKyDmAqCAL
13259|The cheap, and cheeky, @FIAT_UK 500 HATCHBACK 1.2 S 3dr in Bossanova White which visited the CarLease team. This is… https://t.co/tkGu6OVxor
13260|RT @GreenCarGuide: #Ford reveals 16 new electrified models at #GoFurther event with 8 due on the road by end of 2019. Includes all-new #For…
13261|"RT @MercedesBenz: Get the first glimpse of the Concept GLB. More to come soon at Auto Shanghai 2019!

#AutoShanghai #ConceptGLB https://t.c…"
13262|Andrew Jeffries gave CarLease UK 5 stars via @Trustpilot https://t.co/HWjLBp6MKj #carleasing #trustpilot #grateful
13263|Timothy Hough gave CarLease UK 5 stars via @Trustpilot https://t.co/9vWOHOZzjX #carleasing #trustpilot #consistent
13264|Ste gave CarLease UK 5 stars via @Trustpilot https://t.co/Iv650xuNuQ #carleasing #trustpilot #smashedit
13265|RT @AutoExpress: NEWS: #Toyota gives away 24,000 patents to help other companies develop #hybrids… &gt;&gt; https://t.co/zQyslaJkba https://t.co/…
13266|Chandana Mukherjee gave CarLease UK 5 stars via @Trustpilot https://t.co/Y2NVWa0I8e #carleasing #trustpilot #topteam
13267|D.Shawyer gave CarLease UK 5 stars via @Trustpilot https://t.co/9Zf9nfZfwk #carleasing #trustpilot #topteam
13268|Zoe  gave CarLease UK 5 stars via @Trustpilot https://t.co/fR4Pm6sZsv #carleasing #trustpilot #service
13269|RT @carwowuk: With aggressive looks from the front to the rear, coupled with the ability to hit 641hp along with a top speed of 195mph, do…
13270|Neil Kirkby gave CarLease UK 5 stars via @Trustpilot https://t.co/70rxYgudzc #carleasing #trustpilot
13271|The @ToyotaUK C-HR HATCHBACK 1.2T Icon 5dr Manual (in Tyrol Silver) which our team had the chance to test drive and… https://t.co/6sjerBK14E
13272|RT @Leasingdotcom: Don't want to wait for a Tesla Model 3? Here's five alternative EVs you can #lease right now &gt;&gt; https://t.co/19hiIq0ujH…
13273|Some #MondayMotivation in the form of the @MercedesBenzUK A200 AMG Line Auto in Mountain Grey! Is this the best hat… https://t.co/mnuXhDEYCQ
13274|Keeley Blackburn gave CarLease UK 5 stars via @Trustpilot https://t.co/rcD46w3tlo #carleasing #trustpilot #reviews
13275|CarLease UK Video Blog :Mercedes Benz A200: Car Leasing Deals https://t.co/PPQXLkJAHa via @YouTube #carleasing #mercedes #aclass
13276|RT @autocar: The @Tesla Model 3 has made a big splash in the EV and mid-sized saloon segments since it arrived in Europe, but does it do en…
13277|We had the @MercedesBenzUK E220d AMG Line Premium 4dr 9G-Tronic (in Iridium Silver) at CarLease UK. Would you choos… https://t.co/YVFZPcZMX2
13278|RT @AutoExpress: REVIEW: We drive the new #Mercedes S 560 e L to see if this limo is the ultimate plug-in hybrid?..aex.ae/2FIUwGb https://t…
13279|RT @LeighBizExpo: Remember to visit our headline sponsors down at @carlease_uk Drive over at this years #LeighExpo and get some expert leas…
13280|Kevin Ashley gave CarLease UK 5 stars via @Trustpilot https://t.co/f0Soeqq3uu #carleasing #trustpilot #jobdone
13281|RT @AutoExpress: LONG-TERM REVIEW: Our #Hyundai Kona Electric is our affordable EV champ and it proves you don’t really need a petrol car a…
13282|RT @BusinessCarMgr: Supermarkets go green - https://t.co/qWMzuYd6m2 https://t.co/XuJ0cUZQZ4
13283|"RT @LeighBizExpo: Take a look at this article all about #leighexpo exhibitors @brandeditemsgp! Well done team! https://t.co/TnNleMc1he
#Bra…"
13284|Our lucky #wigan business leasing customer collected their new @MercedesBenzUK GLC 220d 4Matic AMG Line Auto (in Po… https://t.co/kiYIG69myY
13285|RT @autocar: The 4 Series will be the next model in @BMW's line-up to receive a refresh, and now the new cabriolet variant has been spotted…
13286|Carol Douglas gave CarLease UK 5 stars via @Trustpilot https://t.co/4dfGAeIJE0 #carleasing #trustpilot #happycustomer
13287|RT @LeighBizExpo: Whether you’ve only got an hour to spare or you’re free to spend the day with us, #LeighExpo, sponsored by @carlease_uk,…
13288|Laura Goodsall gave CarLease UK 5 stars via @Trustpilot https://t.co/WHJSrKOVMu #leasing #newcar #trustpilot
13289|Iain Main gave CarLease UK 5 stars via @Trustpilot https://t.co/hSA5vXiQc9 #carleasing #trustpilot #lessonslearned
13290|Rothwell Plumbing Services Ltd gave CarLease UK 5 stars via @Trustpilot https://t.co/w1mPwwGF3G #carleasing #companycar #trustpilot
13291|"RT @evomagazine: Mercedes-AMG has revealed the 302bhp A35 Saloon to rival the Audi S3 Saloon - 
https://t.co/h3h9NcGwpQ https://t.co/0tRskO…"
13292|RT @ladbible: All new cars to be fitted with technology that stops drivers going over speed limit https://t.co/UFa64ITk0Z https://t.co/iG3d…
13293|Happy handover for our personal leasing customer in Crawley! The @Jaguar F-PACE 2.0d R-Sport Auto (AWD) in Santorin… https://t.co/Ja900oG0Ws
13294|"RT @LeighBizExpo: Good evening folks!
It's gonna be a great week!
Have you booked your #LeighExpo tickets yet? 
Leigh Business Expo takes p…"
13295|RT @autocar: European market data published today by @JATO_Dynamics shows the @Tesla Model 3 has become the best-selling electric vehicle i…
13296|RT @AutoExpress: NEWS: Price increase announced for #Tesla Model Y less than a fortnight after it was revealed…&gt;&gt; https://t.co/RTikJiYnKr h…
13297|"RT @GuySalmonJLR: Jaguar’s ultimate performance SUV.

Turn up your volumes and hear the stirring soundtrack of Jaguars supercharged 5.0 V8…"
13298|CarLease UK Video Blog :Mercedes Benz CLA : Car Leasing Deals https://t.co/0T1oXOxvpm via @YouTube #carleasing #mercedes #cla
13299|New BMW 530d M Sport Delivery @CarLease UK - Curtain Side Transport 2019... https://t.co/sL1zJY2q8t via @YouTube #carleasing #bmw
13300|"RT @carwowuk: It's one of the most sought after electric cars due to arrive in the UK... But does the #TeslaModel3 live up to the hype?

Jo…"
13301|"RT @whatcar: REVIEW UPDATE: ""The sDrive20i is impressively tractable for an entry-level engine, imbuing the new #BMW #Z4 with an easy going…"
13302|Does the @Tesla MODEL X HATCHBACK 449kW 100kWh Dual Motor 5dr Auto (in Midnight Grey) give you that #FridayFeeling… https://t.co/auXgR7Gpee
13303|RT @autocar: Will the next-gen Porsche Cayenne follow the Macan’s lead and be offered with a fully electric variant? It depends on battery…
13304|RT @UKMoments: Following Theresa May's commitment to see Brexit through, a petition to halt the process and revoke article 50 has gone vira…
13305|Keeping it very local this time - our personal customer from #Leigh collected their new (albeit pre-reg) @BMW 530d… https://t.co/4fLd1vHBfn
13306|RT @autocar: Find out why the upcoming Taycan EV will be one of the most crucial models in @Porsche's range when it arrives in September: h…
13307|RT @autocar: BMW has peeled the lid off the 8-Series. We're in the M850i today, which is the quickest car in the range until the 600bhp+ M8…
